rowid,pl_name,hostname,pl_orbper,pl_orblper,pl_orbtper,pl_orbsmax,pl_orbeccen,st_rad,st_mass
0,GJ 251 c,GJ 251,53.647,0.0,,0.196,0.0,0.36,0.35
1,TOI-756 c,TOI-756,149.4,-167.77,,0.439,0.445,0.505,0.505
2,TOI-283 b,TOI-283,17.61745,90.0,,0.123,0.0,0.85,0.8
3,TOI-2345 c,TOI-2345,21.064302,,,0.1257,,0.729,0.727
4,TOI-2345 b,TOI-2345,1.0528573,,,0.01705,,0.729,0.727
5,TOI-756 b,TOI-756,1.2392495,90.0,,0.018,0.0,0.505,0.505
6,55 Cnc B c,55 Cnc B,33.747,,,0.13,0.0,0.274,0.26
7,55 Cnc B b,55 Cnc B,6.7994,,,0.044,0.0,0.274,0.26
8,WISPIT 2 b,WISPIT 2,,,,57.0,,1.418,1.08
9,HD 23079 c,HD 23079,5.748913,283.4,,,0.097,1.08,1.16
10,TOI-5350 b,TOI-5350,7.581367,121.0,,0.0796,0.0165,1.263,1.167
11,TOI-6223 b,TOI-6223,3.855219,,,0.04018,,0.576,0.582
12,TOI-4773 b,TOI-4773,1.7452851,-113.0,,0.03216,0.024,1.55,1.452
13,TOI-5261 b,TOI-5261,4.1509768,32.4,,0.05134,0.1585,1.021,1.037
14,TOI-2449 b,TOI-2449,106.14468,266.0,,0.45,0.098,1.065,1.079
15,HD 196067 c,HD 196067,4.601088,295.5,,,0.235,1.71,1.16
16,HD 143811 AB b,HD 143811 A,117000.0,,,63.0,0.19,1.68398,1.32
17,TOI-2093 c,TOI-2093,53.81149,0.0,,0.257,0.0,0.729,0.745
18,TOI-2093 b,TOI-2093,12.836,90.0,,0.097,0.0,0.729,0.745
19,TOI-5799 c,TOI-5799,14.010449,,,0.0782,,0.321,0.325
20,TOI-6109 c,TOI-6109,8.538878,,,0.0786,,1.021,1.03
21,TOI-6109 b,TOI-6109,5.690476,,,0.0599,,1.021,1.03
22,TOI-1743 b,TOI-1743,4.266046,,,0.03589,,0.338,0.339
23,TOI-6420 b,TOI-6420,6.961508,48.4,,0.0753,0.078,1.312,1.165
24,HIP 111909 c,HIP 111909,893.63,90.0,,1.97,,4.53,1.28
25,TOI-880 c,TOI-880,6.3872703,,,0.0635,,0.83,0.87
26,HIP 18606 b,HIP 18606,674.94,90.0,,1.61,,4.83,1.21
27,HIP 111909 b,HIP 111909,487.08,90.0,,1.32,,4.53,1.28
28,GJ 536 c,GJ 536,32.761,,,0.1617,0.0,0.529,0.528
29,TOI-1203 b,TOI-1203,4.1572888,125.4,2458546.16,0.04869,0.067,1.179,0.886
30,TOI-1203 e,TOI-1203,204.59,189.7,2458962.29,,0.152,1.179,0.886
31,TOI-1203 d,TOI-1203,25.502672,186.4,2458554.96,0.1632,0.032,1.179,0.886
32,TOI-1203 c,TOI-1203,13.0766,172.8,2459201.1,,0.092,1.179,0.886
33,WISPIT 1 b,WISPIT 1,,,,338.0,,1.1161,0.72
34,TOI-1346 b,TOI-1346,1.7622538,,,,,0.78,0.82
35,TOI-2322 c,TOI-2322,20.225528,90.0,,0.1362,0.0,0.662,0.703
36,HD 28471 b,HD 28471,3.1649,152.0,,0.042,0.195,1.08,0.98
37,TOI-1011 b,TOI-1011,2.470498,,,,0.0,0.92,0.91
38,HD 28471 d,HD 28471,11.681,96.0,,0.1,0.093,1.08,0.98
39,HD 28471 c,HD 28471,6.1245,76.0,,0.065,0.088,1.08,0.98
40,TOI-6000 b,TOI-6000,0.448959,,,,,0.38,0.37
41,Proxima Cen d,Proxima Cen,5.12338,4.0,2460557.55,0.02881,0.0,0.141,0.1221
42,KMT-2024-BLG-0404L c,KMT-2024-BLG-0404L,,,,,,,0.09
43,TOI-2322 b,TOI-2322,11.30717,90.0,,0.0924,0.0,0.662,0.703
44,TOI-2719 b,TOI-2719,3.37594,,,,,1.69,1.02
45,HD 135344 A b,HD 135344 A,,8.2,2465405.5,16.5,0.5,1.5,2.32
46,WISPIT 1 c,WISPIT 1,,,,840.0,,1.1161,0.72
47,TOI-4155 b,TOI-4155,3.320729,,,,,0.95,1.16
48,BEBOP-3 b,BEBOP-3,547.0,49.0,2459633.0,1.444,0.247,1.414,1.083
49,AU Mic e,AU Mic,33.11,,,,,0.82,0.6
50,TOI-2141 c,TOI-2141,5.4624,,,0.0585,,0.95,0.896
51,TOI-2141 d,TOI-2141,60.45,,,0.2906,,0.95,0.896
52,HD 224018 c,HD 224018,36.57669,230.0,,0.217,0.02,1.147,1.013
53,HD 224018 d,HD 224018,138.0731,206.0,,0.53,0.04,1.147,1.013
54,HD 224018 b,HD 224018,10.6413,190.0,,0.0952,0.06,1.147,1.013
55,TOI-1438 c,TOI-1438,9.428089,90.0,,0.083,0.0,0.82,0.876
56,TOI-1346 c,TOI-1346,5.502558,,,,,0.78,0.82
57,TOI-1438 b,TOI-1438,5.13967,90.0,,0.0553,0.0,0.82,0.876
58,KMT-2024-BLG-0404L b,KMT-2024-BLG-0404L,,,,0.85,,,0.09
59,KMT-2024-BLG-1209L b,KMT-2024-BLG-1209L,,,,2.51,,,0.77
60,TOI-4961 b,TOI-4961,7.479182,-126.0,,0.0726,0.182,0.912,0.912
61,GJ 9773 b,GJ 9773,2965.0,99.0,,2.921,0.218,0.362,0.358
62,TOI-5322 b,TOI-5322,5.4233207,,,0.0604,0.055,1.462,0.998
63,TOI-5340 b,TOI-5340,4.9394392,,,0.0628,0.13,1.842,1.35
64,TOI-5795 b,TOI-5795,6.1406325,31.67,,0.064,0.25,1.082,0.901
65,TOI-2031 A b,TOI-2031 A,5.71548654,,,0.066,0.076,1.241,1.174
66,TOI-4214 b,TOI-4214,3.4913885,,,0.05018,0.17,1.434,1.382
67,TOI-5181 A b,TOI-5181 A,3.8922295,,,0.0522,0.15,1.53,1.25
68,TOI-3474 b,TOI-3474,3.8795105,,,0.0502,0.13,1.256,1.121
69,TOI-3135 b,TOI-3135,3.7065585,,,0.04756,0.24,0.985,1.044
70,TOI-3682 b,TOI-3682,3.3462406,,,0.048,0.22,1.735,1.32
71,TOI-6303 b,TOI-6303,9.485236,117.0,,0.0761,0.02,0.609,0.644
72,TOI-3980 b,TOI-3980,3.6089254,,,0.0494,0.16,1.626,1.24
73,TOI-3523 A b,TOI-3523 A,2.30458952,,,0.03559,0.047,1.448,1.131
74,TOI-4487 A b,TOI-4487 A,3.9540709,,,0.05448,0.083,1.634,1.378
75,TOI-4465 b,TOI-4465,101.94054,279.74,,0.416,0.24,1.014,0.93
76,TOI-2986 b,TOI-2986,3.2783662,,,0.04489,0.14,1.458,1.122
77,TOI-4734 b,TOI-4734,6.235633,,,0.074,0.12,1.857,1.391
78,TOI-4794 b,TOI-4794,3.5658116,,,0.0492,0.1,1.451,1.25
79,TOI-2876 b,TOI-2876,6.2996431,,,0.0654,0.13,0.873,0.939
80,TOI-2886 b,TOI-2886,1.60200105,,,0.02871,0.11,1.241,1.229
81,TOI-3877 b,TOI-3877,4.123596,,,0.0529,0.22,1.445,1.16
82,TOI-3593 b,TOI-3593,3.8212867,62.0,,0.0481,0.105,0.918,1.015
83,TOI-3856 b,TOI-3856,2.04360352,,,0.0325,0.083,1.055,1.096
84,TOI-2346 b,TOI-2346,3.3312029,,,0.0473,0.086,1.38,1.271
85,TOI-2169 A b,TOI-2169 A,8.2148282,,,0.0896,0.045,1.82,1.42
86,TOI-6330 b,TOI-6330,6.8500246,37.0,,0.05763,0.34,0.49,0.531
87,GJ 508.2 b,GJ 508.2,5300.0,302.0,,4.85,0.27,0.53,0.54
88,TOI-2382 b,TOI-2382,4.6612061,,,0.059,0.18,1.417,1.26
89,TOI-5592 b,TOI-5592,2.6085846,,,0.03935,0.062,1.393,1.194
90,TOI-5210 b,TOI-5210,4.5661061,,,0.0557,0.066,1.209,1.105
91,Ross 176 b,Ross 176,5.0066338,101.0,,0.0464,0.25,0.569,0.577
92,TOI-5386 A b,TOI-5386 A,3.62156552,,,0.04856,0.072,1.245,1.165
93,TOI-3486 b,TOI-3486,2.21778105,,,0.03138,0.078,0.788,0.837
94,TOI-3160 A b,TOI-3160 A,3.971281,,,0.0505,0.18,1.346,1.088
95,TOI-3464 b,TOI-3464,3.6515568,,,0.0515,0.25,1.56,1.363
96,TOI-2992 b,TOI-2992,3.007812,,,0.0434,0.089,1.545,1.21
97,L 98-59 f,L 98-59,23.064,,,0.1052,0.044,0.3155,0.2923
98,MOA-2022-BLG-091L b,MOA-2022-BLG-091L,,,,3.44,,,0.75
99,TOI-6894 b,TOI-6894,3.37077196,,,0.02604,0.029,0.2276,0.207
100,KOI-134 c,KOI-134,33.95,-13.0,,0.2305,0.24,1.667,1.407
101,KMT-2022-BLG-2076L b,KMT-2022-BLG-2076L,,,,5.67,,,0.67
102,KMT-2023-BLG-2209L b,KMT-2023-BLG-2209L,,,,3.51,,,0.73
103,KMT-2017-BLG-2197L b,KMT-2017-BLG-2197L,,,,15.91,,,0.36
104,KMT-2022-BLG-1790L b,KMT-2022-BLG-1790L,,,,5.25,,,0.58
105,TOI-1117 c,TOI-1117,4.579,,,0.0534,0.0,1.05,0.97
106,TOI-1117 b,TOI-1117,2.22816,,,0.033,0.0,1.05,0.97
107,HIP 41378 g,HIP 41378,62.06,,,,,1.273,1.16
108,TOI-2989 b,TOI-2989,3.122832,,,0.0384,0.0,0.76,0.77
109,TOI-2969 b,TOI-2969,1.8237146,,,0.0261,0.0,0.7,0.71
110,TIC 434398831 b,TIC 434398831,3.685504,-61.0,,0.04641,0.04,0.909,0.992
111,TIC 434398831 c,TIC 434398831,6.210291,-59.0,,0.06572,0.013,0.909,0.992
112,TOI-1117 d,TOI-1117,8.665,,,0.0817,0.0,1.05,0.97
113,Kepler-725 c,Kepler-725,207.541,29.7,,0.6744,0.436,0.88,0.95
114,KOI-134 b,KOI-134,67.1277,153.2,,0.363,0.16,1.667,1.407
115,K2-73 c,K2-73,1000.0,,,,,1.058,1.02
116,TOI-6695 c,TOI-6695,242.4,-121.0,,0.838,0.022,1.517,1.338
117,TOI-7149 b,TOI-7149,2.65206166,-16.4,,0.02603,0.078,0.351,0.344
118,TOI-6695 b,TOI-6695,80.389,137.0,,0.402,0.04,1.517,1.338
119,OGLE-2015-BLG-1609L b,OGLE-2015-BLG-1609L,,,,,,,0.17
120,TOI-2407 b,TOI-2407,2.702969,42.0,,0.033,0.08,0.567,0.548
121,TOI-5300 b,TOI-5300,2.262196,,,0.0295,0.0,0.65,0.67
122,TOI-1846 b,TOI-1846,3.9306737,,2458768.02844,0.03646,,0.397,0.418
123,HD 35843 b,HD 35843,9.8991,,,0.088,0.0,0.897,0.94
124,HD 94890 c,HD 94890,2492.19,232.65,,4.33,0.05,10.71,1.74
125,TOI-2076 e,TOI-2076,3.0223445,,,0.0385,,0.796,0.8557
126,TOI-5800 b,TOI-5800,2.6278838,-36.0,,0.0344,0.3,0.773,0.778
127,TOI-5573 b,TOI-5573,8.79758977,32.8,,0.0712,0.072,0.594,0.619
128,TOI-2005 b,TOI-2005,17.305904,,,0.16,0.597,2.02,1.59
129,HD 87816 b,HD 87816,484.17,337.1,,1.618,0.78,9.0,2.41
130,HD 94890 b,HD 94890,824.61,19.68,,2.07,0.22,10.71,1.74
131,HD 87816 c,HD 87816,7596.0,110.44,,10.14,0.19,9.0,2.41
132,HD 35843 c,HD 35843,46.9622,211.0,,0.25,0.153,0.897,0.94
133,TOI-5817 b,TOI-5817,15.61031,,,0.1223,0.2,1.427,0.97
134,HD 102888 b,HD 102888,252.06,241.2,,1.05,0.11,8.6,2.42
135,WASP-102 b,WASP-102,2.709813,,,0.041,0.0,1.375,1.08
136,WASP-149 b,WASP-149,1.332813,,,0.024,0.0,1.08,1.05
137,WASP-116 b,WASP-116,6.6132,,,0.065,0.0,1.426,1.25
138,TOI-3493 b,TOI-3493,8.1594667,,,,,1.228,1.023
139,TOI-771 c,TOI-771,7.61,-82.0,2458573.8,0.046,0.065,0.232,0.22
140,Kepler-139 f,Kepler-139,355.0,,,,,1.045,1.078
141,K2-157 d,K2-157,66.5,,,0.309,0.5,0.86,0.89
142,WASP-155 b,WASP-155,3.110413,,,0.043,0.0,1.24,1.09
143,K2-157 c,K2-157,25.942,,,0.165,0.2,0.86,0.89
144,G 268-110 b,G 268-110,1.43263,,,0.01283,0.0,0.177,0.137
145,G 192-15 b,G 192-15,2.27476,,,0.01723,0.0,0.170718,0.132
146,Gl 410 b,Gl 410,6.02,,2459646.59,0.0531,,0.543,0.55
147,TOI-6478 b,TOI-6478,34.005019,,,0.1136,,0.234,0.23
148,WASP-194 b,WASP-194,3.183387,,,0.047,0.0,1.409,1.29
149,WASP-195 b,WASP-195,5.051928,,,0.063,0.0,1.578,1.3
150,WASP-197 b,WASP-197,5.167228,,,0.065,0.0,2.112,1.36
151,OGLE-2016-BLG-0007L b,OGLE-2016-BLG-0007L,14200.0,,,10.1,,,0.59
152,WASP-188 b,WASP-188,5.748916,,,0.072,0.0,1.83,1.5
153,TOI-6324 b,TOI-6324,0.279221,,,,0.0,0.293,0.269
154,WASP-154 b,WASP-154,3.811678,,,0.044,0.0,0.823,0.8
155,G 261-6 b,G 261-6,5.4536,,,0.02971,0.0,0.153162,0.118
156,G 192-15 c,G 192-15,1219.0,73.4,,1.137,0.676,0.170718,0.132
157,KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,,,,2.0,,,0.28
158,Barnard c,Barnard's star,4.1244,90.8,2460242.92,0.0274,0.08,0.185,0.162
159,TOI-1803 c,TOI-1803,12.885779,,,0.097,0.0,0.715,0.756
160,Barnard d,Barnard's star,2.3402,-51.8,2460243.7,0.0188,0.04,0.185,0.162
161,Barnard e,Barnard's star,6.7392,-27.5,2460245.3,0.0381,0.04,0.185,0.162
162,KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,,,,4.0,,,0.6
163,TOI-1803 b,TOI-1803,6.293287,,,0.06,0.0,0.715,0.756
164,AT2021ueyL b,AT2021ueyL,4168.69,,,4.01,,,0.49
165,TOI-4364 b,TOI-4364,5.424019,-190.0,,0.04753,0.29,0.4684,0.487
166,TOI-1453 b,TOI-1453,4.3135225,90.0,,,0.0,0.72,0.715
167,GJ 3998 d,GJ 3998,41.78,,,0.189,0.0,0.5,0.52
168,TOI-1453 c,TOI-1453,6.5886982,90.0,,,0.0,0.72,0.715
169,TOI-5143 c,TOI-5143,5.2097118,,,0.05602,,0.852,0.864
170,TOI-512 b,TOI-512,7.18886,-54.0,,,0.02,0.89,0.74
171,TOI-2537 b,TOI-2537,94.1022,75.2,,0.3715,0.364,0.771,0.771
172,Kepler-289 e,Kepler-289,330.0716,,,0.9342,0.0,0.985,1.061
173,Kepler-279 e,Kepler-279,98.3531,,,0.439,0.0,1.43,1.164
174,TOI-6628 b,TOI-6628,18.18424,215.8,,0.134,0.67,1.01,0.97
175,ZTF J1230-2655 b,ZTF J1230-2655,0.23597766,,,,,0.0123,0.646
176,TOI-5110 b,TOI-5110,30.158577,92.2,,0.2157,0.745,2.333,1.469
177,Gaia-5 b,Gaia-5,358.62,271.54,2457428.5,,0.6423,0.345,0.339
178,Gaia-4 b,Gaia-4,571.3,180.3,2457386.1,,0.338,0.624,0.644
179,TOI-7041 b,TOI-7041,9.691,131.0,,,0.04,4.1,1.07
180,TOI-5027 b,TOI-5027,10.24368,288.6,,0.093,0.385,0.92,1.02
181,TOI-2537 c,TOI-2537,1920.0,-35.6,,2.78,0.287,0.771,0.771
182,GJ 2126 b,GJ 2126,272.7,10.0,2453371.0,0.71,0.85,0.728,0.65
183,GJ 341 b,GJ 341,7.57686,,,,0.0,0.5066,0.48
184,KMT-2023-BLG-1896L b,KMT-2023-BLG-1896L,,,,2.86,,,0.72
185,KOBE-1 c,KOBE-1,29.671,,,0.16071,0.0,0.619,0.629
186,TOI-2015 c,TOI-2015,5.582796,,,0.041232,0.00033,0.3273,0.3041
187,TOI-2328 b,TOI-2328,17.10197,148.7,,0.127,0.057,0.9,0.95
188,MOA-2022-BLG-033L b,MOA-2022-BLG-033L,,,,2.15,,,0.51
189,KMT-2023-BLG-0119L b,KMT-2023-BLG-0119L,,,,3.14,,,0.71
190,KOBE-1 b,KOBE-1,8.5399,,,0.07006,0.0,0.619,0.629
191,TOI-2295 c,TOI-2295,966.5,39.5,,2.018,0.194,1.459,1.168
192,TOI-2295 b,TOI-2295,30.033302,-39.2,,0.1992,0.334,1.459,1.168
193,TIC 88785435 b,TIC 88785435,10.508843,-25.0,,0.08432,0.131,0.911,0.724
194,TOI-3837 b,TOI-3837,11.88865,279.9,,0.099,0.221,1.2,0.89
195,ZTF J1828+2308 b,ZTF J1828+2308,0.1120067,,,,,0.0131,0.61
196,TOI-6038 A b,TOI-6038 A,5.8267311,,,0.069,,1.648,1.291
197,TOI-5882 b,TOI-5882,7.148972,104.7,,0.0804,0.0339,2.26,1.334
198,WASP-132 d,WASP-132,1816.6,131.0,,2.71,0.12,0.758,0.789
199,BD+05 4868 A b,BD+05 4868 A,1.271869,,,0.0208,,0.69,0.7
200,HD 101581 b,HIP 56998,4.46569,,,0.046,,0.63,0.653
201,HD 101581 c,HIP 56998,6.20401,,,0.0573,,0.63,0.653
202,HD 20794 f,HD 20794,647.6,,,1.3541,0.45,0.93,0.79
203,TOI-5108 b,TOI-5108,6.753581,,,0.073,,1.29,1.1
204,HD 86728 b,HD 86728,31.1515,92.0,,0.1916,0.067,1.237,0.967
205,NGTS-31 b,NGTS-31,4.162734,90.0,,0.064,0.0,1.7,0.96
206,TOI-5786 b,TOI-5786,12.779107,,,0.114,,1.36,1.23
207,Gl 725 A b,Gl 725 A,11.2201,0.0,2458597.7,0.068,0.0,0.351,0.33
208,NGTS-32 b,NGTS-32,3.31211,90.0,,0.044,0.0,1.85,1.07
209,TOI-4504 b,TOI-4504,2.42614,90.0,,0.03392,0.0,0.92,0.89
210,TOI-4504 d,TOI-4504,40.5634,98.3,,0.2219,0.0445,0.92,0.89
211,TOI-2580 b,TOI-2580,3.39775,114.0,,0.048,0.08,1.81,1.33
212,KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,,,,,,,0.069
213,TOI-1295 b,TOI-1295,3.1968838,80.0,,0.047,0.024,1.7,1.38
214,TOI-4994 b,TOI-4994,21.491984,143.1,2459343.85,0.1515,0.319,1.055,1.005
215,TOI-4504 c,TOI-4504,82.97213,270.9,,0.3569,0.032,0.92,0.89
216,TOI-6383 A b,TOI-6383 A,1.79058695,23.8,,0.02292,0.05,0.457,0.458
217,TOI-6016 b,TOI-6016,4.023687,90.0,,0.055,0.0,1.51,1.31
218,TOI-6130 b,TOI-6130,2.392679,42.0,,0.036,0.036,1.51,1.31
219,Kepler-879 c,Kepler-879,0.646716,,,,,1.022,0.974
220,TOI-1659.01,TOI-1659,5.877556328,,,0.065757,,1.006,1.1
221,TOI-1782.02,TOI-1782,1.829024227,,,0.025739,,0.669,0.68
222,TOI-1777.01,TOI-1777,14.650111974,,,0.119466,,0.98,1.06
223,K2-360 c,EPIC 201595106,9.79692,71.0,,0.0883,0.11,0.98,0.958
224,TOI-6054.01,TOI-6054,7.501428,-13.0,,0.0763,0.164,1.662,1.107
225,TOI-6651 b,TOI-6651,5.056973,116.0,2459852.93,0.0633,0.091,1.721,1.323
226,Kepler-158 d,Kepler-158,0.645088,,,,,0.668,0.656
227,TOI-1782.01,TOI-1782,4.987641028,,,0.05024,,0.669,0.68
228,KMT-2023-BLG-1743L b,KMT-2023-BLG-1743L,,,,1.16,,,0.11
229,KOI-4978 b,KOI-4978,0.941967,,,,,0.966,0.859
230,TOI-1301.01,TOI-1301,6.096407209,,,0.059866,,0.732,0.77
231,TOI-5726.01,TOI-5726,5.491125215,,,0.062186,,1.106,1.06
232,TOI-2211.01,TOI-2211,3.092686757,,,0.04011,,0.834,0.9
233,KMT-2022-BLG-2286L b,KMT-2022-BLG-2286L,,,,2.02,,,0.2
234,IRAS 04125+2902 b,IRAS 04125+2902,8.834978,,,0.077,,1.45,0.7
235,NGTS-33 b,NGTS-33,2.827972,90.0,,0.048,0.0,1.47,1.6
236,TOI-1716.01,TOI-1716,8.082376554,,,0.080496,,1.24,1.07
237,TOI-1630.01,TOI-1630,12.055734733,,,0.101151,,0.83,0.95
238,TOI-6054.02,TOI-6054,12.563636,-163.0,,0.1079,0.332,1.662,1.107
239,TOI-4638.01,TOI-4638,10.283918787,,,0.093013,,0.895,1.02
240,Kepler-963 c,Kepler-963,0.919783,,,,,0.928,0.821
241,TOI-1772.01,TOI-1772,8.054246874,,,0.078375,,0.995,0.99
242,TOI-1744.01,TOI-1744,22.341702927,,,0.164086,,1.14,1.18
243,TOI-1768.01,TOI-1768,7.337703649,,,0.076381,,1.1,1.1
244,Kepler-1489 c,Kepler-1489,0.680741,,,,,0.957,0.977
245,TOI-1883 b,TOI-1883,4.50638,,,0.0468,,0.494,0.492
246,TOI-2485 b,TOI-2485,11.23479,10.0,2458939.7856,0.1093,0.0341,1.72,1.163
247,TOI-2274 b,TOI-2274,2.67963,,,0.05,,0.631,0.612
248,TOI-5713 b,TOI-5713,10.441989,-139.0,,0.06008,0.24,0.2992,0.2653
249,TOI-2384 b,TOI-2384,2.13570304,,,0.02793,0.0,0.6113,0.635
250,TOI-2420 b,TOI-2420,5.842641,15.5,2458388.4119,0.0684,0.055,2.369,1.158
251,TOI-5319 b,TOI-5319,4.07853,,,0.0506,,0.485,0.5
252,TOI-2379 b,TOI-2379,5.4693827,73.1,,0.05263,0.342,0.622,0.645
253,TOI-2768 b,TOI-2768,1.50801,,,0.027,,0.657,0.63
254,Kepler-51 e,Kepler-51,264.284,,,,0.02,0.87,0.96
255,Barnard b,Barnard's star,3.1542,3.8,2460243.38,0.0229,0.03,0.185,0.162
256,TOI-6002 b,TOI-6002,10.904821,-160.0,,0.05722,0.15,0.2432,0.2101
257,TOI-4914 b,TOI-4914,10.60057,58.7,,0.098,0.408,1.0,1.03
258,HIP 67522 c,HIP 67522,14.334892,186.6,,0.1228,0.077,1.38,1.22
259,HD 222237 b,HD 222237,14892.0,2.6,2443747.0,10.8,0.56,0.71,0.76
260,TOI-2714 b,TOI-2714,2.499387,-146.0,,0.036,0.164,1.25,1.07
261,TOI-2458 b,TOI-2458,3.73659,-26.0,,0.0482,0.087,1.31,1.05
262,TOI-1266 d,TOI-1266,32.509,,,0.1513,0.087,0.4232,0.437
263,TOI-406 c,TOI-406,3.307441,-6.0,,0.0322,0.032,0.41,0.408
264,TOI-4562 c,TOI-4562,3990.0,3.0,,5.219,0.122,1.152,1.192
265,TOI-3568 b,TOI-3568,4.417965,-0.9,,0.0485,0.035,0.719,0.78
266,TOI-2981 b,TOI-2981,3.601501,28.0,,0.048,0.035,1.08,1.03
267,TOI-6255 b,TOI-6255,0.23818244,,,,0.0,0.37,0.353
268,TOI-5688 A b,TOI-5688 A,2.94815527,-1.32,,0.03379,0.128,0.57,0.6
269,TOI-5005 b,TOI-5005,6.3085044,,,0.06614,,0.93,0.97
270,HD 75898 c,HD 75898,6717.0,110.0,,7.39,0.08,1.55,1.295
271,HD 21520 b,HD 21520,25.1292,,,0.1726,0.0,1.044,1.09
272,KMT-2021-BLG-2609L b,KMT-2021-BLG-2609L,,,,2.3,,,0.2
273,KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,,,,4.81,,,0.368
274,TOI-2458 c,TOI-2458,16.553,4.3,2459168.39,0.129,0.29,1.31,1.05
275,TOI-5218 b,TOI-5218,4.291452,90.0,,0.0469,0.0,0.708,0.739
276,Gaia22dkvL b,Gaia22dkvL,,,,1.4,,,1.145
277,TOI-5616 b,TOI-5616,2.002849,90.0,,0.0272,0.0,0.646,0.666
278,TOI-6034 b,TOI-6034,2.576184,-34.0,,0.02949,0.04,0.489,0.514
279,HD 73344 c,HD 73344,65.94,112.0,,0.3388,0.124,1.22,1.19
280,OGLE-2017-BLG-0364L b,OGLE-2017-BLG-0364L,,,,3.79,,,0.49
281,HD 73344 d,HD 73344,5823.0,58.9,2458061.0,6.7,0.18,1.22,1.19
282,KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,,,,2.36,,,0.57
283,KMT-2017-BLG-2331L b,KMT-2017-BLG-2331L,,,,2.14,,,0.4
284,KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,,,,2.73,,,0.19
285,GJ 1289 b,GJ 1289,111.74,0.0,,0.27,0.0,0.245012,0.21
286,K2-419 A b,K2-419 A,20.35847252,0.97,,0.1208,0.042,0.541,0.562
287,TOI-5634 A b,TOI-5634 A,2.2035373,90.0,,0.0272,0.0,0.54,0.556
288,TOI-4379 b,TOI-4379,3.25352,,,,0.018,1.976,1.372
289,TOI-6029 b,TOI-6029,5.7987,,,,0.091,2.338,1.548
290,TOI-3261 b,TOI-3261,0.8831331,0.0,,0.01714,0.0,0.849,0.861
291,TOI-3321 b,TOI-3321,3.6525145,12.0,,0.047,0.054,1.549,1.041
292,TIC 46432937 b,TIC 46432937,1.44044527,,,0.02065,0.009,0.5299,0.563
293,TOI-4153 b,TOI-4153,4.6174141,-165.0,,0.06311,0.039,1.605,1.572
294,TOI-757 b,TOI-757,17.46819,-36.0,,0.122,0.39,0.78,0.8
295,TOI-1855 b,TOI-1855,1.36414864,-100.0,,0.02398,0.033,1.041,0.987
296,TOI-5232 b,TOI-5232,4.0966692,46.0,,0.05593,0.035,1.785,1.389
297,HD 118203 c,HD 118203,5103.0,175.0,2452527.0,6.28,0.26,2.04,1.27
298,TOI-5301 b,TOI-5301,5.858858,75.0,,0.073,0.33,2.19,1.483
299,TOI-1224 c,TOI-1224,17.945466,90.0,,,0.0,0.404,0.4
300,TOI-1224 b,TOI-1224,4.1782745,,,0.0355,,0.404,0.4
301,TOI-1408 c,TOI-1408,2.1664,286.3,,0.03587,0.1353,1.53,1.312
302,TOI-3919 b,TOI-3919,7.433234,-65.8,,0.0795,0.259,1.319,1.208
303,TOI-3894 b,TOI-3894,4.33454,108.0,,0.05354,0.05,1.502,1.138
304,HD 48948 b,HD 48948,7.34013,39.0,2456567.026,0.0652,0.055,0.679,0.686
305,HD 48948 d,HD 48948,151.92,269.0,2456494.34,0.4894,0.055,0.679,0.686
306,KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,,,,2.63,,,0.51
307,TOI-2107 b,TOI-2107,2.4545467,153.0,,0.03515,0.033,0.932,0.961
308,TIC 365102760 b,TIC 365102760,4.21285367,0.216,,0.0622,0.406,3.13,1.17
309,TIC 241249530 b,TIC 241249530,165.7719,42.32,,0.641,0.9412,1.397,1.271
310,HD 48948 c,HD 48948,38.06,101.0,2456557.14,0.1951,0.55,0.679,0.686
311,TOI-762 A b,TOI-762 A,3.4716826,,,0.03418,0.083,0.425,0.442
312,TOI-2368 b,TOI-2368,5.1750073,121.0,,0.05649,0.061,0.846,0.897
313,TOI-1691 b,TOI-1691,16.736888935,90.0,,0.129365,0.0,1.0,1.03
314,TOI-782 b,TOI-782,8.0240015,,,0.0578,0.19,0.413,0.397
315,TOI-286 c,TOI-286,39.361826,90.0,,0.213,0.0,0.78,0.832
316,TOI-329 b,TOI-329,5.70439,170.0,,0.0638,0.39,1.5326,1.0678
317,TOI-3071 b,TOI-3071,1.266938,,,0.0249,0.09,1.31,1.29
318,TOI-286 b,TOI-286,4.5117244,90.0,,0.0503,0.0,0.78,0.832
319,TOI-480 b,TOI-480,6.866196,90.0,,0.077,0.0,1.4877,1.2793
320,TOI-1180 b,TOI-1180,9.686760378,90.0,,0.080799,0.0,0.73,0.75
321,TOI-1174 b,TOI-1174,8.953487683,90.0,,0.07994,0.0,0.76,0.85
322,TOI-1173 b,TOI-1173,7.06466,90.0,,0.0696,0.023,0.934,0.911
323,TOI-1184 b,TOI-1184,5.748433803,90.0,,0.056027,0.0,0.69,0.71
