rowid,pl_name,hostname,pl_orbper,pl_orblper,pl_orbtper,pl_orbsmax,pl_orbeccen,st_rad,st_mass
4083,HD 102329 c,HD 102329,1123.0,21.0,2454736.0,,0.209,6.3,1.3
4084,HIP 109384 b,HIP 109384,499.48,104.49,2456337.02,1.134,0.549,0.831075,0.78
4085,HD 95089 c,HD 95089,1785.0,66.0,2441170.0,3.33,0.284,5.08,1.54
4086,HD 156279 c,HD 156279,4818.25358,98.377,2451076.76,5.486,0.261,0.95,0.94
4087,HD 5583 b,HD 5583,139.35,12.0,2456021.5,0.53,0.076,9.09,1.01
4088,HD 33142 c,HD 33142,810.2,52.0,2455664.0,1.955,0.081,4.17,1.52
4089,BD+15 2375 b,BD+15 2375,153.22,55.0,2457680.5,0.576,0.001,8.95,1.08
4090,HD 116029 c,HD 116029,907.0,17.3,2455291.0,,0.038,4.6,1.33
4091,GJ 317 c,GJ 317,6500.0,106.7,2449804.6,5.04,0.217,0.403,0.402
4092,HD 114783 c,HD 114783,4352.0,153.0,2455618.0,5.0,0.05,0.840622,0.9
4093,HD 220842 b,HD 220842,218.47,-134.9,2456624.8,0.74,0.404,1.41647,1.13
4094,HD 12484 b,HD 12484,58.83,-35.0,2456699.0,0.297,0.07,1.001848,1.01
4095,Kepler-167 d,Kepler-167,21.80379,,,0.1404,0.0,0.749,0.777
4096,K2-27 b,K2-27,6.771347,,,0.06702,0.251,0.876,0.88
4097,MOA-2011-BLG-028L b,MOA-2011-BLG-028L,,,,4.14,,,0.75
4098,K2-28 b,K2-28,2.260455,0.0,,0.0214,0.0,0.288,0.257
4099,OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,,,,2.7,,,0.38
4100,HD 47366 c,HD 47366,677.53,163.6,2453950.3,1.84,0.161,7.3,1.81
4101,HD 47366 b,HD 47366,360.08,-152.1,2455308.7,1.207,0.071,7.3,1.81
4102,psi1 Dra B b,psi1 Dra B,3117.0,64.0,2449344.0,4.43,0.4,1.255735,1.19
4103,KELT-4 A b,KELT-4 A,2.9895932,,,0.04317,0.0,1.603,1.201
4104,K2-26 b,K2-26,14.5665,,,0.0962,,0.52,0.56
4105,Wolf 1061 c,Wolf 1061,17.8719,37.0,,0.089,0.11,0.307,0.294
4106,K2-24 b,K2-24,20.88977,,,0.154,0.06,1.16,1.07
